refund_id,order_id,payment_id,refund_date,refund_type,refund_reason,amount,currency,status,gateway,gateway_reference,customer_id
REF_000063,ORD_002020,,2025-09-12T18:49:07,FULL,RETURNED_ORDER,1499.45,INR,SUCCESS,,,CUST_004020
REF_000064,ORD_002037,PAY_001670,2025-09-22T02:53:29,FULL,RETURNED_ORDER,712.72,INR,SUCCESS,PayFlow,RF_00000064,CUST_003678
REF_000065,ORD_002048,PAY_001680,2025-09-24T11:25:10,FULL,RETURNED_ORDER,960.64,INR,SUCCESS,PayFlow,RF_00000065,CUST_002848
REF_000066,ORD_002062,,2025-09-12T01:07:00,FULL,RETURNED_ORDER,670.88,INR,SUCCESS,,,CUST_000852
REF_000067,ORD_002075,PAY_001701,2025-09-18T07:23:35,FULL,RETURNED_ORDER,339.19,INR,SUCCESS,PayFlow,RF_00000067,CUST_008013
REF_000068,ORD_002085,PAY_001709,2025-10-09T11:02:06,FULL,RETURNED_ORDER,778.58,INR,SUCCESS,PayFlow,RF_00000068,CUST_007310
REF_000069,ORD_002087,PAY_001710,2025-09-18T03:53:20,FULL,RETURNED_ORDER,701.50,INR,SUCCESS,PayFlow,RF_00000069,CUST_002674
REF_000070,ORD_002100,PAY_001718,2025-09-26T08:57:11,FULL,RETURNED_ORDER,1855.31,INR,SUCCESS,PayFlow,RF_00000070,CUST_007503
REF_000071,ORD_002162,PAY_001765,2025-09-25T14:06:23,FULL,RETURNED_ORDER,1225.25,INR,SUCCESS,PayFlow,RF_00000071,CUST_005667
REF_000072,ORD_002199,PAY_001795,2025-09-14T01:32:18,FULL,RETURNED_ORDER,735.93,INR,SUCCESS,PayFlow,RF_00000072,CUST_000444
REF_000073,ORD_002201,PAY_001797,2025-09-22T09:22:39,FULL,RETURNED_ORDER,2461.72,INR,SUCCESS,PayFlow,RF_00000073,CUST_002338
REF_000074,ORD_002278,PAY_001861,2025-09-13T15:08:30,FULL,RETURNED_ORDER,653.21,INR,SUCCESS,PayFlow,RF_00000074,CUST_004626
REF_000075,ORD_002302,PAY_001881,2025-09-25T22:55:24,FULL,CUSTOMER_REQUEST,396.48,INR,SUCCESS,PayFlow,RF_00000075,CUST_001852
REF_000076,ORD_002326,PAY_001902,2025-09-17T07:54:26,FULL,RETURNED_ORDER,728.56,INR,SUCCESS,PayFlow,RF_00000076,CUST_002157
REF_000077,ORD_002339,PAY_001912,2025-09-07T23:10:15,FULL,CUSTOMER_REQUEST,390.58,INR,SUCCESS,PayFlow,RF_00000077,CUST_004275
REF_000078,ORD_002363,PAY_001932,2025-09-22T10:50:54,FULL,RETURNED_ORDER,295.00,INR,SUCCESS,PayFlow,RF_00000078,CUST_005298
REF_000079,ORD_002377,PAY_001944,2025-09-22T11:58:18,FULL,RETURNED_ORDER,799.98,INR,SUCCESS,PayFlow,RF_00000079,CUST_006404
REF_000080,ORD_002387,PAY_001953,2025-09-16T23:15:20,FULL,CUSTOMER_REQUEST,3231.67,INR,SUCCESS,PayFlow,RF_00000080,CUST_002778
REF_000081,ORD_002496,PAY_002046,2025-09-05T15:23:42,FULL,CUSTOMER_REQUEST,1175.59,INR,SUCCESS,PayFlow,RF_00000081,CUST_000349
REF_000082,ORD_002519,PAY_002064,2025-09-27T22:39:44,FULL,CUSTOMER_REQUEST,1241.36,INR,SUCCESS,PayFlow,RF_00000082,CUST_001514
REF_000083,ORD_002599,PAY_002131,2025-09-14T10:34:26,FULL,RETURNED_ORDER,1122.18,INR,SUCCESS,PayFlow,RF_00000083,CUST_001787
REF_000084,ORD_002602,PAY_002134,2025-09-20T21:50:47,FULL,CUSTOMER_REQUEST,1236.64,INR,SUCCESS,PayFlow,RF_00000084,CUST_003071
REF_000085,ORD_002603,PAY_002135,2025-09-11T05:47:23,FULL,RETURNED_ORDER,580.09,INR,SUCCESS,PayFlow,RF_00000085,CUST_005041
REF_000086,ORD_002615,PAY_002144,2025-10-01T03:29:20,FULL,RETURNED_ORDER,1312.69,INR,SUCCESS,PayFlow,RF_00000086,CUST_008026
REF_000087,ORD_002681,PAY_002198,2025-09-10T22:33:45,FULL,CUSTOMER_REQUEST,752.71,INR,SUCCESS,PayFlow,RF_00000087,CUST_001817
REF_000088,ORD_002692,,2025-10-05T07:59:06,FULL,RETURNED_ORDER,579.74,INR,SUCCESS,,,CUST_006309
REF_000089,ORD_002695,PAY_002210,2025-09-30T21:27:07,PARTIAL,CUSTOMER_REQUEST,221.46,INR,SUCCESS,PayFlow,RF_00000089,CUST_001748
REF_000090,ORD_002699,PAY_002214,2025-09-15T18:02:22,FULL,CUSTOMER_REQUEST,750.36,INR,SUCCESS,PayFlow,RF_00000090,CUST_003717
REF_000091,ORD_002733,PAY_002241,2025-09-16T00:04:21,FULL,CUSTOMER_REQUEST,387.06,INR,SUCCESS,PayFlow,RF_00000091,CUST_001966
REF_000092,ORD_002754,PAY_002258,2025-09-25T15:01:20,FULL,RETURNED_ORDER,3256.51,INR,SUCCESS,PayFlow,RF_00000092,CUST_000142
REF_000093,ORD_002771,PAY_002274,2025-10-04T20:44:45,FULL,RETURNED_ORDER,1027.49,INR,SUCCESS,PayFlow,RF_00000093,CUST_004340
REF_000094,ORD_002812,PAY_002309,2025-09-02T22:29:39,FULL,CUSTOMER_REQUEST,1230.98,INR,SUCCESS,PayFlow,RF_00000094,CUST_000154
REF_000095,ORD_002871,PAY_002358,2025-09-27T19:45:04,FULL,RETURNED_ORDER,306.80,INR,SUCCESS,PayFlow,RF_00000095,CUST_002313
REF_000096,ORD_002891,PAY_002377,2025-10-06T09:11:56,FULL,RETURNED_ORDER,336.93,INR,SUCCESS,PayFlow,RF_00000096,CUST_007968
REF_000097,ORD_002932,PAY_002410,2025-10-02T21:07:54,PARTIAL,CUSTOMER_REQUEST,477.04,INR,SUCCESS,PayFlow,RF_00000097,CUST_004436
REF_000098,ORD_002980,PAY_002453,2025-09-07T11:58:18,FULL,RETURNED_ORDER,1214.64,INR,SUCCESS,PayFlow,RF_00000098,CUST_004120
REF_000099,ORD_003046,PAY_002507,2025-09-23T18:48:24,FULL,CUSTOMER_REQUEST,3085.11,INR,SUCCESS,PayFlow,RF_00000099,CUST_002635
REF_000100,ORD_003048,,2025-09-17T14:43:29,FULL,RETURNED_ORDER,803.58,INR,SUCCESS,,,CUST_005621
REF_000101,ORD_003049,PAY_002509,2025-09-14T09:53:21,FULL,RETURNED_ORDER,867.18,INR,SUCCESS,PayFlow,RF_00000101,CUST_006397
REF_000102,ORD_003054,PAY_002513,2025-09-18T10:23:19,FULL,RETURNED_ORDER,364.69,INR,SUCCESS,PayFlow,RF_00000102,CUST_000573
REF_000103,ORD_003078,,2025-09-20T09:52:57,FULL,RETURNED_ORDER,395.30,INR,SUCCESS,,,CUST_002605
REF_000104,ORD_003083,,2025-10-02T02:14:46,FULL,RETURNED_ORDER,1312.69,INR,SUCCESS,,,CUST_003262
REF_000105,ORD_003156,PAY_002592,2025-09-11T20:20:56,PARTIAL,CUSTOMER_REQUEST,168.12,INR,SUCCESS,PayFlow,RF_00000105,CUST_004733
REF_000106,ORD_003159,PAY_002595,2025-09-11T03:44:52,FULL,RETURNED_ORDER,379.61,INR,SUCCESS,PayFlow,RF_00000106,CUST_005623
REF_000107,ORD_003163,PAY_002599,2025-09-17T13:45:56,FULL,RETURNED_ORDER,701.90,INR,SUCCESS,PayFlow,RF_00000107,CUST_005175
REF_000108,ORD_003179,PAY_002609,2025-09-22T03:45:41,FULL,RETURNED_ORDER,1911.60,INR,SUCCESS,PayFlow,RF_00000108,CUST_004982
REF_000109,ORD_003193,,2025-10-11T07:41:39,FULL,RETURNED_ORDER,678.30,INR,SUCCESS,,,CUST_006753
REF_000110,ORD_003194,,2025-10-05T13:49:54,FULL,RETURNED_ORDER,1439.60,INR,SUCCESS,,,CUST_004562
REF_000111,ORD_003199,PAY_002625,2025-09-24T18:20:09,FULL,RETURNED_ORDER,427.22,INR,SUCCESS,PayFlow,RF_00000111,CUST_007729
REF_000112,ORD_003217,PAY_002639,2025-09-11T00:22:11,FULL,CUSTOMER_REQUEST,897.98,INR,SUCCESS,PayFlow,RF_00000112,CUST_001638
REF_000113,ORD_003223,PAY_002645,2025-09-05T19:32:37,FULL,CUSTOMER_REQUEST,799.98,INR,SUCCESS,PayFlow,RF_00000113,CUST_003635
REF_000114,ORD_003245,PAY_002665,2025-09-09T18:43:22,FULL,CUSTOMER_REQUEST,339.19,INR,SUCCESS,PayFlow,RF_00000114,CUST_000937
REF_000115,ORD_003247,PAY_002667,2025-09-11T23:14:14,FULL,RETURNED_ORDER,271.28,INR,SUCCESS,PayFlow,RF_00000115,CUST_006081
REF_000116,ORD_003294,PAY_002709,2025-09-13T16:34:36,FULL,RETURNED_ORDER,283.02,INR,SUCCESS,PayFlow,RF_00000116,CUST_008490
REF_000117,ORD_003307,PAY_002721,2025-09-17T02:32:50,FULL,CUSTOMER_REQUEST,347.98,INR,SUCCESS,PayFlow,RF_00000117,CUST_001187
REF_000118,ORD_003413,PAY_002807,2025-09-18T14:02:17,FULL,RETURNED_ORDER,321.33,INR,SUCCESS,PayFlow,RF_00000118,CUST_000675
REF_000119,ORD_003432,PAY_002823,2025-09-15T02:39:06,FULL,CUSTOMER_REQUEST,2400.12,INR,SUCCESS,PayFlow,RF_00000119,CUST_007036
REF_000120,ORD_003447,PAY_002837,2025-09-19T18:57:00,FULL,CUSTOMER_REQUEST,596.02,INR,SUCCESS,PayFlow,RF_00000120,CUST_007306
REF_000121,ORD_003454,PAY_002843,2025-09-12T23:45:41,FULL,CUSTOMER_REQUEST,1202.20,INR,SUCCESS,PayFlow,RF_00000121,CUST_008215
REF_000122,ORD_003482,PAY_002869,2025-09-13T15:51:15,FULL,RETURNED_ORDER,379.55,INR,SUCCESS,PayFlow,RF_00000122,CUST_005316
REF_000123,ORD_003538,PAY_002916,2025-09-12T01:40:28,FULL,CUSTOMER_REQUEST,2562.96,INR,SUCCESS,PayFlow,RF_00000123,CUST_006375
REF_000124,ORD_003541,PAY_002919,2025-09-27T05:28:33,FULL,RETURNED_ORDER,1066.78,INR,SUCCESS,PayFlow,RF_00000124,CUST_008204
REF_000125,ORD_003578,PAY_002951,2025-09-18T08:13:17,FULL,RETURNED_ORDER,852.43,INR,SUCCESS,PayFlow,RF_00000125,CUST_002582
REF_000126,ORD_003668,PAY_003027,2025-09-13T00:20:08,FULL,CUSTOMER_REQUEST,4269.89,INR,SUCCESS,PayFlow,RF_00000126,CUST_007155
REF_000127,ORD_003679,PAY_003037,2025-10-10T01:28:48,FULL,RETURNED_ORDER,1206.43,INR,SUCCESS,PayFlow,RF_00000127,CUST_006428
REF_000128,ORD_003728,PAY_003083,2025-09-29T04:07:13,FULL,RETURNED_ORDER,1360.54,INR,SUCCESS,PayFlow,RF_00000128,CUST_002845
REF_000129,ORD_003747,PAY_003101,2025-09-12T13:24:44,FULL,CUSTOMER_REQUEST,715.43,INR,SUCCESS,PayFlow,RF_00000129,CUST_007478
REF_000130,ORD_003755,PAY_003107,2025-09-26T23:50:30,FULL,RETURNED_ORDER,386.21,INR,SUCCESS,PayFlow,RF_00000130,CUST_005052
REF_000131,ORD_003791,PAY_003136,2025-10-02T11:10:42,FULL,RETURNED_ORDER,1030.32,INR,SUCCESS,PayFlow,RF_00000131,CUST_007217
REF_000132,ORD_003830,PAY_003166,2025-09-30T02:05:08,FULL,RETURNED_ORDER,1197.70,INR,SUCCESS,PayFlow,RF_00000132,CUST_004207
REF_000133,ORD_003833,PAY_003169,2025-09-15T06:18:21,FULL,RETURNED_ORDER,295.00,INR,SUCCESS,PayFlow,RF_00000133,CUST_006404
REF_000134,ORD_003845,PAY_003180,2025-09-22T05:44:24,FULL,RETURNED_ORDER,801.15,INR,SUCCESS,PayFlow,RF_00000134,CUST_004533
REF_000135,ORD_003992,PAY_003305,2025-09-21T13:32:44,FULL,RETURNED_ORDER,408.28,INR,SUCCESS,PayFlow,RF_00000135,CUST_000037
REF_000136,ORD_004021,PAY_003330,2025-09-27T23:51:45,FULL,CUSTOMER_REQUEST,306.80,INR,SUCCESS,PayFlow,RF_00000136,CUST_005471
REF_000137,ORD_004025,PAY_003333,2025-09-27T23:33:09,FULL,CUSTOMER_REQUEST,1599.86,INR,SUCCESS,PayFlow,RF_00000137,CUST_006814
REF_000138,ORD_004163,PAY_003441,2025-09-17T22:27:01,FULL,CUSTOMER_REQUEST,385.38,INR,SUCCESS,PayFlow,RF_00000138,CUST_001667
REF_000139,ORD_004179,PAY_003453,2025-10-06T10:04:50,FULL,RETURNED_ORDER,3142.46,INR,SUCCESS,PayFlow,RF_00000139,CUST_001852
REF_000140,ORD_004186,,2025-09-24T01:32:58,FULL,RETURNED_ORDER,609.12,INR,SUCCESS,,,CUST_004072
REF_000141,ORD_004239,PAY_003501,2025-10-06T11:18:30,FULL,RETURNED_ORDER,2039.93,INR,SUCCESS,PayFlow,RF_00000141,CUST_006253
REF_000142,ORD_004282,PAY_003537,2025-09-06T01:11:42,FULL,CUSTOMER_REQUEST,826.00,INR,SUCCESS,PayFlow,RF_00000142,CUST_005242
REF_000143,ORD_004288,PAY_003542,2025-10-07T13:00:04,FULL,RETURNED_ORDER,892.83,INR,SUCCESS,PayFlow,RF_00000143,CUST_005063
REF_000144,ORD_004320,PAY_003571,2025-10-02T14:52:06,FULL,RETURNED_ORDER,803.58,INR,SUCCESS,PayFlow,RF_00000144,CUST_005311
REF_000145,ORD_004360,,2025-09-10T02:17:31,FULL,RETURNED_ORDER,569.22,INR,SUCCESS,,,CUST_005885
REF_000146,ORD_004407,PAY_003642,2025-09-24T08:46:23,FULL,RETURNED_ORDER,486.87,INR,SUCCESS,PayFlow,RF_00000146,CUST_000291
REF_000147,ORD_004415,PAY_003650,2025-09-23T21:35:14,FULL,CUSTOMER_REQUEST,3411.20,INR,SUCCESS,PayFlow,RF_00000147,CUST_007725
REF_000148,ORD_004435,PAY_003669,2025-09-28T12:53:44,FULL,RETURNED_ORDER,766.01,INR,SUCCESS,PayFlow,RF_00000148,CUST_000099
REF_000149,ORD_004500,PAY_003725,2025-09-06T01:27:52,FULL,RETURNED_ORDER,2302.37,INR,SUCCESS,PayFlow,RF_00000149,CUST_007543
REF_000150,ORD_004514,,2025-09-30T04:11:44,FULL,RETURNED_ORDER,850.78,INR,SUCCESS,,,CUST_008499
REF_000151,ORD_004555,PAY_003768,2025-09-13T01:21:09,FULL,RETURNED_ORDER,283.67,INR,SUCCESS,PayFlow,RF_00000151,CUST_006294
REF_000152,ORD_004564,PAY_003774,2025-10-02T07:44:49,FULL,RETURNED_ORDER,354.00,INR,SUCCESS,PayFlow,RF_00000152,CUST_006898
REF_000153,ORD_004590,PAY_003793,2025-10-10T00:14:24,FULL,RETURNED_ORDER,1086.96,INR,SUCCESS,PayFlow,RF_00000153,CUST_006252
REF_000154,ORD_004596,PAY_003799,2025-09-07T02:59:23,FULL,CUSTOMER_REQUEST,1071.44,INR,SUCCESS,PayFlow,RF_00000154,CUST_000521
REF_000155,ORD_004661,PAY_003853,2025-09-16T04:04:52,PARTIAL,CUSTOMER_REQUEST,171.81,INR,SUCCESS,PayFlow,RF_00000155,CUST_004373
REF_000156,ORD_004662,PAY_003854,2025-10-11T01:37:49,FULL,RETURNED_ORDER,520.86,INR,SUCCESS,PayFlow,RF_00000156,CUST_000894
REF_000157,ORD_004690,PAY_003878,2025-10-02T08:39:38,FULL,RETURNED_ORDER,600.62,INR,SUCCESS,PayFlow,RF_00000157,CUST_007439
REF_000158,ORD_004696,PAY_003884,2025-09-24T22:27:58,FULL,CUSTOMER_REQUEST,2389.50,INR,SUCCESS,PayFlow,RF_00000158,CUST_006203
REF_000159,ORD_004728,,2025-10-02T09:15:44,FULL,RETURNED_ORDER,752.17,INR,SUCCESS,,,CUST_000835
REF_000160,ORD_004739,PAY_003917,2025-09-17T15:31:21,FULL,RETURNED_ORDER,1106.84,INR,SUCCESS,PayFlow,RF_00000160,CUST_001829
REF_000161,ORD_004775,PAY_003945,2025-09-28T07:48:57,FULL,RETURNED_ORDER,1083.00,INR,SUCCESS,PayFlow,RF_00000161,CUST_006801
REF_000162,ORD_004778,PAY_003948,2025-10-01T02:01:09,FULL,CUSTOMER_REQUEST,1098.58,INR,SUCCESS,PayFlow,RF_00000162,CUST_005154
REF_000163,ORD_004821,,2025-09-28T13:01:55,FULL,RETURNED_ORDER,306.74,INR,SUCCESS,,,CUST_004634
REF_000164,ORD_004834,PAY_003992,2025-09-16T04:44:31,FULL,CUSTOMER_REQUEST,3906.98,INR,SUCCESS,PayFlow,RF_00000164,CUST_004394
REF_000165,ORD_004885,PAY_004038,2025-10-06T06:43:51,FULL,RETURNED_ORDER,380.90,INR,SUCCESS,PayFlow,RF_00000165,CUST_002960
REF_000166,ORD_004972,PAY_004113,2025-10-10T16:10:23,FULL,RETURNED_ORDER,271.28,INR,SUCCESS,PayFlow,RF_00000166,CUST_000349
REF_000167,ORD_005021,PAY_004156,2025-09-28T04:12:15,FULL,RETURNED_ORDER,803.58,INR,SUCCESS,PayFlow,RF_00000167,CUST_001140
REF_000168,ORD_005023,PAY_004158,2025-10-02T10:18:52,FULL,RETURNED_ORDER,679.33,INR,SUCCESS,PayFlow,RF_00000168,CUST_000437
REF_000169,ORD_005059,PAY_004187,2025-09-04T17:37:44,FULL,CUSTOMER_REQUEST,921.58,INR,SUCCESS,PayFlow,RF_00000169,CUST_004620
REF_000170,ORD_005084,PAY_004208,2025-09-12T08:42:15,FULL,RETURNED_ORDER,702.10,INR,SUCCESS,PayFlow,RF_00000170,CUST_006710
REF_000171,ORD_005106,,2025-09-15T13:11:47,FULL,RETURNED_ORDER,638.38,INR,SUCCESS,,,CUST_002030
