settlement_id,settlement_date,gateway,currency,payment_count,gross_amount,refund_deductions,net_settlement_amount,destination_account_id,gateway_settlement_reference,first_payment_id,last_payment_id
SET_000016,2025-09-05T18:55:50,PayFlow,INR,31,31995.73,0.00,31995.73,BANK_002,PFSET_00000016,PAY_003647,PAY_003499
SET_000017,2025-09-07T00:47:43,PayFlow,INR,32,41585.58,0.00,41585.58,BANK_002,PFSET_00000017,PAY_003678,PAY_007046
SET_000018,2025-09-04T03:39:03,PayFlow,INR,39,50762.95,0.00,50762.95,BANK_002,PFSET_00000018,PAY_008983,PAY_009713
SET_000019,2025-09-04T02:16:15,PayFlow,INR,35,36128.21,0.00,36128.21,BANK_002,PFSET_00000019,PAY_004430,PAY_005220
SET_000020,2025-09-04T05:52:49,PayFlow,INR,29,28488.11,0.00,28488.11,BANK_002,PFSET_00000020,PAY_007139,PAY_006953
SET_000021,2025-09-06T09:56:49,PayFlow,INR,45,60793.34,0.00,60793.34,BANK_002,PFSET_00000021,PAY_003276,PAY_008015
SET_000022,2025-09-04T20:40:13,PayFlow,INR,34,37987.56,921.58,37065.98,BANK_002,PFSET_00000022,PAY_005861,PAY_008134
SET_000023,2025-09-06T19:58:45,PayFlow,INR,34,41635.04,0.00,41635.04,BANK_002,PFSET_00000023,PAY_000617,PAY_008138
SET_000024,2025-09-07T01:54:57,PayFlow,INR,28,34336.06,0.00,34336.06,BANK_002,PFSET_00000024,PAY_005151,PAY_002327
SET_000025,2025-09-05T02:02:50,PayFlow,INR,35,36376.66,0.00,36376.66,BANK_002,PFSET_00000025,PAY_000899,PAY_002740
SET_000026,2025-09-05T01:41:57,PayFlow,INR,29,40917.54,0.00,40917.54,BANK_002,PFSET_00000026,PAY_009275,PAY_002045
SET_000027,2025-09-07T03:41:46,PayFlow,INR,37,52973.65,0.00,52973.65,BANK_002,PFSET_00000027,PAY_008447,PAY_002128
SET_000028,2025-09-07T05:14:08,PayFlow,INR,25,35022.94,826.00,34196.94,BANK_002,PFSET_00000028,PAY_007237,PAY_008496
SET_000029,2025-09-07T02:30:17,PayFlow,INR,42,52871.16,0.00,52871.16,BANK_002,PFSET_00000029,PAY_001438,PAY_002135
SET_000030,2025-09-06T05:56:29,PayFlow,INR,30,47768.84,0.00,47768.84,BANK_002,PFSET_00000030,PAY_001063,PAY_009887
SET_000031,2025-09-08T01:38:57,PayFlow,INR,30,40282.41,0.00,40282.41,BANK_002,PFSET_00000031,PAY_005851,PAY_001580
SET_000032,2025-09-05T00:19:16,PayFlow,INR,31,30369.11,0.00,30369.11,BANK_002,PFSET_00000032,PAY_002976,PAY_002412
SET_000033,2025-09-08T16:53:01,PayFlow,INR,31,37306.21,1175.59,36130.62,BANK_002,PFSET_00000033,PAY_004703,PAY_008906
SET_000034,2025-09-07T20:14:44,PayFlow,INR,39,37093.16,0.00,37093.16,BANK_002,PFSET_00000034,PAY_000178,PAY_004800
SET_000035,2025-09-06T16:54:26,PayFlow,INR,33,45442.76,0.00,45442.76,BANK_002,PFSET_00000035,PAY_003040,PAY_007266
SET_000036,2025-09-08T01:52:05,PayFlow,INR,28,22020.08,0.00,22020.08,BANK_002,PFSET_00000036,PAY_004999,PAY_006423
SET_000037,2025-09-05T21:53:00,PayFlow,INR,33,39557.20,799.98,38757.22,BANK_002,PFSET_00000037,PAY_005910,PAY_005992
SET_000038,2025-09-07T20:42:55,PayFlow,INR,29,41165.76,0.00,41165.76,BANK_002,PFSET_00000038,PAY_007375,PAY_003605
SET_000039,2025-09-05T23:55:48,PayFlow,INR,37,51499.83,0.00,51499.83,BANK_002,PFSET_00000039,PAY_002434,PAY_004829
SET_000040,2025-09-08T21:52:45,PayFlow,INR,37,46357.08,0.00,46357.08,BANK_002,PFSET_00000040,PAY_007190,PAY_008181
SET_000041,2025-09-09T04:20:04,PayFlow,INR,31,32105.18,1355.11,30750.07,BANK_002,PFSET_00000041,PAY_000158,PAY_006232
SET_000042,2025-09-06T06:54:53,PayFlow,INR,35,39290.68,0.00,39290.68,BANK_002,PFSET_00000042,PAY_006756,PAY_003540
SET_000043,2025-09-09T02:25:58,PayFlow,INR,29,28991.95,0.00,28991.95,BANK_002,PFSET_00000043,PAY_001503,PAY_009261
SET_000044,2025-09-07T17:12:30,PayFlow,INR,31,26801.49,415.42,26386.07,BANK_002,PFSET_00000044,PAY_007211,PAY_003845
SET_000045,2025-09-07T19:34:37,PayFlow,INR,32,43819.80,0.00,43819.80,BANK_002,PFSET_00000045,PAY_008820,PAY_002452
SET_000046,2025-09-08T18:03:13,PayFlow,INR,33,41973.61,0.00,41973.61,BANK_002,PFSET_00000046,PAY_006733,PAY_003675
SET_000047,2025-09-08T18:09:49,PayFlow,INR,36,35931.58,0.00,35931.58,BANK_002,PFSET_00000047,PAY_008279,PAY_001023
SET_000048,2025-09-09T23:33:15,PayFlow,INR,34,38430.53,0.00,38430.53,BANK_002,PFSET_00000048,PAY_002990,PAY_002484
SET_000049,2025-09-09T20:38:49,PayFlow,INR,30,42035.58,0.00,42035.58,BANK_002,PFSET_00000049,PAY_007982,PAY_007179
SET_000050,2025-09-10T00:02:17,PayFlow,INR,31,40719.35,0.00,40719.35,BANK_002,PFSET_00000050,PAY_009257,PAY_002297
SET_000051,2025-09-08T02:35:28,PayFlow,INR,40,44290.69,0.00,44290.69,BANK_002,PFSET_00000051,PAY_006432,PAY_009509
SET_000052,2025-09-08T23:10:06,PayFlow,INR,29,32735.37,0.00,32735.37,BANK_002,PFSET_00000052,PAY_001761,PAY_005712
SET_000053,2025-09-08T23:24:23,PayFlow,INR,37,42062.87,2974.81,39088.06,BANK_002,PFSET_00000053,PAY_003887,PAY_002967
SET_000054,2025-09-07T06:18:58,PayFlow,INR,30,35783.79,0.00,35783.79,BANK_002,PFSET_00000054,PAY_004661,PAY_005296
SET_000055,2025-09-10T20:40:33,PayFlow,INR,28,32049.39,0.00,32049.39,BANK_002,PFSET_00000055,PAY_003509,PAY_004744
SET_000056,2025-09-11T00:54:41,PayFlow,INR,32,39904.44,339.19,39565.25,BANK_002,PFSET_00000056,PAY_002938,PAY_002288
SET_000057,2025-09-10T22:41:49,PayFlow,INR,30,37925.73,0.00,37925.73,BANK_002,PFSET_00000057,PAY_007533,PAY_002583
SET_000058,2025-09-10T22:00:06,PayFlow,INR,34,45603.00,731.60,44871.40,BANK_002,PFSET_00000058,PAY_007704,PAY_002983
SET_000059,2025-09-09T21:48:19,PayFlow,INR,33,29568.95,0.00,29568.95,BANK_002,PFSET_00000059,PAY_001262,PAY_001281
SET_000060,2025-09-09T03:55:22,PayFlow,INR,29,32942.83,0.00,32942.83,BANK_002,PFSET_00000060,PAY_000865,PAY_007499
SET_000061,2025-09-10T04:03:57,PayFlow,INR,33,31099.94,0.00,31099.94,BANK_002,PFSET_00000061,PAY_007259,PAY_005549
SET_000062,2025-09-10T04:14:04,PayFlow,INR,32,30574.52,0.00,30574.52,BANK_002,PFSET_00000062,PAY_006536,PAY_000240
SET_000063,2025-09-11T01:09:37,PayFlow,INR,33,32628.39,649.07,31979.32,BANK_002,PFSET_00000063,PAY_001889,PAY_003844
SET_000064,2025-09-11T14:23:50,PayFlow,INR,33,46322.59,0.00,46322.59,BANK_002,PFSET_00000064,PAY_003074,PAY_003204
SET_000065,2025-09-11T23:05:33,PayFlow,INR,43,54908.49,501.74,54406.75,BANK_002,PFSET_00000065,PAY_001242,PAY_001525
SET_000066,2025-09-08T22:29:11,PayFlow,INR,33,38880.96,0.00,38880.96,BANK_002,PFSET_00000066,PAY_008816,PAY_007275
SET_000067,2025-09-12T02:27:47,PayFlow,INR,30,38406.18,0.00,38406.18,BANK_002,PFSET_00000067,PAY_005819,PAY_007257
SET_000068,2025-09-11T21:31:00,PayFlow,INR,29,30623.93,0.00,30623.93,BANK_002,PFSET_00000068,PAY_004068,PAY_008806
SET_000069,2025-09-09T20:12:44,PayFlow,INR,28,27030.19,0.00,27030.19,BANK_002,PFSET_00000069,PAY_007011,PAY_008201
SET_000070,2025-09-09T05:43:12,PayFlow,INR,37,52046.15,0.00,52046.15,BANK_002,PFSET_00000070,PAY_000528,PAY_009461
SET_000071,2025-09-08T23:51:13,PayFlow,INR,39,44338.68,0.00,44338.68,BANK_002,PFSET_00000071,PAY_006968,PAY_003387
SET_000072,2025-09-10T07:38:35,PayFlow,INR,32,47966.89,0.00,47966.89,BANK_002,PFSET_00000072,PAY_002616,PAY_005847
SET_000073,2025-09-12T17:17:32,PayFlow,INR,34,37882.35,0.00,37882.35,BANK_002,PFSET_00000073,PAY_001820,PAY_007462
SET_000074,2025-09-11T21:52:10,PayFlow,INR,38,44258.39,1895.67,42362.72,BANK_002,PFSET_00000074,PAY_007634,PAY_007449
SET_000075,2025-09-10T20:24:09,PayFlow,INR,36,47661.57,0.00,47661.57,BANK_002,PFSET_00000075,PAY_006800,PAY_004208
SET_000076,2025-09-12T03:19:58,PayFlow,INR,36,37971.94,0.00,37971.94,BANK_002,PFSET_00000076,PAY_001478,PAY_000808
SET_000077,2025-09-12T20:39:30,PayFlow,INR,35,39434.18,546.34,38887.84,BANK_002,PFSET_00000077,PAY_004996,PAY_004664
SET_000078,2025-09-10T22:24:22,PayFlow,INR,36,47473.59,0.00,47473.59,BANK_002,PFSET_00000078,PAY_000042,PAY_009115
SET_000079,2025-09-11T01:58:08,PayFlow,INR,32,43057.85,234.98,42822.87,BANK_002,PFSET_00000079,PAY_007121,PAY_000474
SET_000080,2025-09-12T04:44:23,PayFlow,INR,30,31060.15,0.00,31060.15,BANK_002,PFSET_00000080,PAY_000991,PAY_009613
SET_000081,2025-09-12T00:41:05,PayFlow,INR,29,31688.27,0.00,31688.27,BANK_002,PFSET_00000081,PAY_004893,PAY_006943
SET_000082,2025-09-13T10:12:53,PayFlow,INR,27,38678.84,0.00,38678.84,BANK_002,PFSET_00000082,PAY_008264,PAY_003414
SET_000083,2025-09-13T20:20:11,PayFlow,INR,30,31570.55,0.00,31570.55,BANK_002,PFSET_00000083,PAY_004755,PAY_010023
SET_000084,2025-09-12T21:21:53,PayFlow,INR,36,42710.42,168.12,42542.30,BANK_002,PFSET_00000084,PAY_001972,PAY_007890
SET_000085,2025-09-13T01:00:49,PayFlow,INR,44,51178.15,1202.20,49975.95,BANK_002,PFSET_00000085,PAY_003235,PAY_004373
SET_000086,2025-09-11T01:06:13,PayFlow,INR,35,40554.59,0.00,40554.59,BANK_002,PFSET_00000086,PAY_008890,PAY_001527
SET_000087,2025-09-10T22:15:21,PayFlow,INR,30,39296.47,0.00,39296.47,BANK_002,PFSET_00000087,PAY_008229,PAY_001082
SET_000088,2025-09-11T00:06:39,PayFlow,INR,33,42282.90,0.00,42282.90,BANK_002,PFSET_00000088,PAY_007016,PAY_000907
SET_000089,2025-09-13T00:45:52,PayFlow,INR,37,55177.45,0.00,55177.45,BANK_002,PFSET_00000089,PAY_006101,PAY_000300
SET_000090,2025-09-11T23:05:03,PayFlow,INR,26,24718.01,0.00,24718.01,BANK_002,PFSET_00000090,PAY_006735,PAY_007288
SET_000091,2025-09-14T01:36:59,PayFlow,INR,38,36366.79,379.55,35987.24,BANK_002,PFSET_00000091,PAY_002027,PAY_001178
SET_000092,2025-09-13T05:27:14,PayFlow,INR,30,30972.66,857.40,30115.26,BANK_002,PFSET_00000092,PAY_001309,PAY_006589
SET_000093,2025-09-12T05:11:28,PayFlow,INR,33,39035.59,0.00,39035.59,BANK_002,PFSET_00000093,PAY_006916,PAY_001661
SET_000094,2025-09-11T16:08:35,PayFlow,INR,33,36724.90,0.00,36724.90,BANK_002,PFSET_00000094,PAY_001542,PAY_009376
SET_000095,2025-09-12T20:15:37,PayFlow,INR,35,43455.91,5384.34,38071.57,BANK_002,PFSET_00000095,PAY_009808,PAY_006004
SET_000096,2025-09-13T00:24:06,PayFlow,INR,28,31182.21,0.00,31182.21,BANK_002,PFSET_00000096,PAY_008038,PAY_009854
SET_000097,2025-09-12T18:34:53,PayFlow,INR,32,36962.99,0.00,36962.99,BANK_002,PFSET_00000097,PAY_007047,PAY_004070
SET_000098,2025-09-14T20:56:31,PayFlow,INR,37,50435.38,0.00,50435.38,BANK_002,PFSET_00000098,PAY_006520,PAY_003331
SET_000099,2025-09-12T22:38:19,PayFlow,INR,26,40635.79,0.00,40635.79,BANK_002,PFSET_00000099,PAY_006559,PAY_006473
SET_000100,2025-09-15T00:57:30,PayFlow,INR,39,47995.69,584.22,47411.47,BANK_002,PFSET_00000100,PAY_005769,PAY_005876
SET_000101,2025-09-15T00:03:13,PayFlow,INR,37,49582.85,0.00,49582.85,BANK_002,PFSET_00000101,PAY_004060,PAY_003110
SET_000102,2025-09-15T05:50:04,PayFlow,INR,28,35693.05,0.00,35693.05,BANK_002,PFSET_00000102,PAY_008876,PAY_001275
SET_000103,2025-09-12T03:34:29,PayFlow,INR,39,39283.87,0.00,39283.87,BANK_002,PFSET_00000103,PAY_004797,PAY_009513
SET_000104,2025-09-12T00:02:18,PayFlow,INR,33,44421.95,0.00,44421.95,BANK_002,PFSET_00000104,PAY_001915,PAY_003836
SET_000105,2025-09-13T13:23:55,PayFlow,INR,39,38187.39,344.23,37843.16,BANK_002,PFSET_00000105,PAY_002823,PAY_002584
SET_000106,2025-09-14T21:48:37,PayFlow,INR,37,52856.64,0.00,52856.64,BANK_002,PFSET_00000106,PAY_006069,PAY_002845
SET_000107,2025-09-15T18:57:51,PayFlow,INR,37,37868.11,0.00,37868.11,BANK_002,PFSET_00000107,PAY_005969,PAY_008587
SET_000108,2025-09-14T01:42:53,PayFlow,INR,32,33143.98,0.00,33143.98,BANK_002,PFSET_00000108,PAY_004487,PAY_002964
SET_000109,2025-09-13T19:43:32,PayFlow,INR,33,31692.15,0.00,31692.15,BANK_002,PFSET_00000109,PAY_002481,PAY_007490
SET_000110,2025-09-15T01:58:57,PayFlow,INR,34,35773.95,0.00,35773.95,BANK_002,PFSET_00000110,PAY_008185,PAY_005020
SET_000111,2025-09-16T02:56:27,PayFlow,INR,36,39789.50,0.00,39789.50,BANK_002,PFSET_00000111,PAY_009313,PAY_006724
SET_000112,2025-09-16T04:16:23,PayFlow,INR,28,35612.90,1044.67,34568.23,BANK_002,PFSET_00000112,PAY_004673,PAY_007245
SET_000113,2025-09-14T04:58:08,PayFlow,INR,42,39427.56,0.00,39427.56,BANK_002,PFSET_00000113,PAY_002643,PAY_003491
SET_000114,2025-09-12T23:00:06,PayFlow,INR,36,31551.53,0.00,31551.53,BANK_002,PFSET_00000114,PAY_008473,PAY_000945
SET_000115,2025-09-15T03:27:05,PayFlow,INR,37,34949.25,0.00,34949.25,BANK_002,PFSET_00000115,PAY_005563,PAY_001110
SET_000116,2025-09-15T22:32:17,PayFlow,INR,37,33689.48,750.36,32939.12,BANK_002,PFSET_00000116,PAY_008298,PAY_001538
SET_000117,2025-09-13T21:56:46,PayFlow,INR,31,43459.85,0.00,43459.85,BANK_002,PFSET_00000117,PAY_003366,PAY_002637
SET_000118,2025-09-17T02:06:22,PayFlow,INR,29,32242.56,0.00,32242.56,BANK_002,PFSET_00000118,PAY_002644,PAY_007565
SET_000119,2025-09-13T22:04:38,PayFlow,INR,33,36260.82,0.00,36260.82,BANK_002,PFSET_00000119,PAY_007692,PAY_003457
SET_000120,2025-09-14T21:38:18,PayFlow,INR,40,46575.42,0.00,46575.42,BANK_002,PFSET_00000120,PAY_001197,PAY_001450
SET_000121,2025-09-13T22:01:04,PayFlow,INR,33,44483.06,0.00,44483.06,BANK_002,PFSET_00000121,PAY_006529,PAY_008801
SET_000122,2025-09-16T00:37:08,PayFlow,INR,27,37103.78,0.00,37103.78,BANK_002,PFSET_00000122,PAY_005286,PAY_006096
SET_000123,2025-09-14T21:35:14,PayFlow,INR,33,40841.90,413.00,40428.90,BANK_002,PFSET_00000123,PAY_000595,PAY_000656
SET_000124,2025-09-15T03:54:42,PayFlow,INR,36,42627.79,0.00,42627.79,BANK_002,PFSET_00000124,PAY_004978,PAY_006544
SET_000125,2025-09-17T12:54:35,PayFlow,INR,35,41723.20,551.85,41171.35,BANK_002,PFSET_00000125,PAY_001546,PAY_004054
SET_000126,2025-09-16T18:44:09,PayFlow,INR,32,41895.53,0.00,41895.53,BANK_002,PFSET_00000126,PAY_008572,PAY_005358
SET_000127,2025-09-14T21:30:46,PayFlow,INR,25,34164.52,0.00,34164.52,BANK_002,PFSET_00000127,PAY_006446,PAY_001643
SET_000128,2025-09-17T02:19:34,PayFlow,INR,39,39843.51,0.00,39843.51,BANK_002,PFSET_00000128,PAY_001959,PAY_000075
SET_000129,2025-09-16T21:05:34,PayFlow,INR,26,27088.55,0.00,27088.55,BANK_002,PFSET_00000129,PAY_002426,PAY_005457
SET_000130,2025-09-18T04:15:21,PayFlow,INR,33,40595.01,0.00,40595.01,BANK_002,PFSET_00000130,PAY_007258,PAY_001864
SET_000131,2025-09-16T00:31:34,PayFlow,INR,39,50265.35,366.39,49898.96,BANK_002,PFSET_00000131,PAY_009386,PAY_007064
SET_000132,2025-09-17T04:10:49,PayFlow,INR,37,40423.38,0.00,40423.38,BANK_002,PFSET_00000132,PAY_009514,PAY_008717
SET_000133,2025-09-16T23:13:04,PayFlow,INR,30,27512.39,0.00,27512.39,BANK_002,PFSET_00000133,PAY_007944,PAY_001762
SET_000134,2025-09-18T13:14:24,PayFlow,INR,39,52727.68,0.00,52727.68,BANK_002,PFSET_00000134,PAY_006242,PAY_005883
SET_000135,2025-09-16T22:29:29,PayFlow,INR,31,41161.85,0.00,41161.85,BANK_002,PFSET_00000135,PAY_009400,PAY_005390
SET_000136,2025-09-16T18:44:52,PayFlow,INR,28,22866.15,0.00,22866.15,BANK_002,PFSET_00000136,PAY_006919,PAY_004583
SET_000137,2025-09-19T01:14:20,PayFlow,INR,34,34498.34,295.00,34203.34,BANK_002,PFSET_00000137,PAY_004806,PAY_005249
SET_000138,2025-09-19T00:20:35,PayFlow,INR,36,45861.97,0.00,45861.97,BANK_002,PFSET_00000138,PAY_001156,PAY_000011
SET_000139,2025-09-16T00:16:17,PayFlow,INR,31,31239.44,0.00,31239.44,BANK_002,PFSET_00000139,PAY_000196,PAY_001990
SET_000140,2025-09-18T21:40:55,PayFlow,INR,37,45786.35,385.38,45400.97,BANK_002,PFSET_00000140,PAY_007658,PAY_007863
SET_000141,2025-09-19T04:06:24,PayFlow,INR,34,38754.74,0.00,38754.74,BANK_002,PFSET_00000141,PAY_002424,PAY_004394
SET_000142,2025-09-19T02:07:12,PayFlow,INR,32,32330.86,0.00,32330.86,BANK_002,PFSET_00000142,PAY_002606,PAY_008024
SET_000143,2025-09-19T01:44:52,PayFlow,INR,32,30596.65,0.00,30596.65,BANK_002,PFSET_00000143,PAY_009314,PAY_000511
SET_000144,2025-09-16T14:33:30,PayFlow,INR,34,47608.21,0.00,47608.21,BANK_002,PFSET_00000144,PAY_002292,PAY_006106
SET_000145,2025-09-19T20:41:27,PayFlow,INR,28,33865.68,0.00,33865.68,BANK_002,PFSET_00000145,PAY_004696,PAY_000136
SET_000146,2025-09-18T20:47:00,PayFlow,INR,25,25917.69,3231.67,22686.02,BANK_002,PFSET_00000146,PAY_007015,PAY_000119
SET_000147,2025-09-20T00:46:41,PayFlow,INR,35,41060.55,75.66,40984.89,BANK_002,PFSET_00000147,PAY_005707,PAY_003474
SET_000148,2025-09-18T23:26:36,PayFlow,INR,34,43685.75,0.00,43685.75,BANK_002,PFSET_00000148,PAY_006644,PAY_008932
SET_000149,2025-09-17T00:14:28,PayFlow,INR,31,33391.92,0.00,33391.92,BANK_002,PFSET_00000149,PAY_009382,PAY_000456
SET_000150,2025-09-20T03:15:05,PayFlow,INR,43,43030.85,168.86,42861.99,BANK_002,PFSET_00000150,PAY_006793,PAY_004161
SET_000151,2025-09-18T03:15:07,PayFlow,INR,42,48046.05,0.00,48046.05,BANK_002,PFSET_00000151,PAY_005435,PAY_006225
SET_000152,2025-09-19T05:26:35,PayFlow,INR,29,41628.88,0.00,41628.88,BANK_002,PFSET_00000152,PAY_006378,PAY_008259
SET_000153,2025-09-20T04:58:52,PayFlow,INR,30,38166.17,0.00,38166.17,BANK_002,PFSET_00000153,PAY_005915,PAY_000830
SET_000154,2025-09-20T15:26:36,PayFlow,INR,28,38313.32,0.00,38313.32,BANK_002,PFSET_00000154,PAY_006397,PAY_003448
SET_000155,2025-09-20T22:43:42,PayFlow,INR,34,44108.28,0.00,44108.28,BANK_002,PFSET_00000155,PAY_005035,PAY_007420
SET_000156,2025-09-17T17:45:20,PayFlow,INR,26,21821.65,0.00,21821.65,BANK_002,PFSET_00000156,PAY_001627,PAY_009709
SET_000157,2025-09-17T17:07:16,PayFlow,INR,32,31986.33,0.00,31986.33,BANK_002,PFSET_00000157,PAY_004162,PAY_009205
SET_000158,2025-09-20T19:02:36,PayFlow,INR,28,24745.77,0.00,24745.77,BANK_002,PFSET_00000158,PAY_004282,PAY_000495
SET_000159,2025-09-21T02:24:04,PayFlow,INR,35,37229.76,383.50,36846.26,BANK_002,PFSET_00000159,PAY_006372,PAY_006752
SET_000160,2025-09-18T00:10:13,PayFlow,INR,25,40214.75,0.00,40214.75,BANK_002,PFSET_00000160,PAY_006406,PAY_004908
SET_000161,2025-09-20T03:52:20,PayFlow,INR,29,33587.42,64.43,33522.99,BANK_002,PFSET_00000161,PAY_004669,PAY_003943
SET_000162,2025-09-21T03:50:30,PayFlow,INR,26,48609.89,391.35,48218.54,BANK_002,PFSET_00000162,PAY_004897,PAY_004842
SET_000163,2025-09-18T23:32:50,PayFlow,INR,34,41805.65,0.00,41805.65,BANK_002,PFSET_00000163,PAY_005381,PAY_000930
SET_000164,2025-09-21T00:48:34,PayFlow,INR,39,63835.57,0.00,63835.57,BANK_002,PFSET_00000164,PAY_001954,PAY_002984
SET_000165,2025-09-21T00:22:11,PayFlow,INR,32,37264.87,126.56,37138.31,BANK_002,PFSET_00000165,PAY_009330,PAY_004618
SET_000166,2025-09-20T01:37:22,PayFlow,INR,39,45876.03,0.00,45876.03,BANK_002,PFSET_00000166,PAY_003437,PAY_002808
SET_000167,2025-09-18T17:01:53,PayFlow,INR,29,28179.11,0.00,28179.11,BANK_002,PFSET_00000167,PAY_004561,PAY_005058
SET_000168,2025-09-19T17:23:47,PayFlow,INR,36,38252.65,0.00,38252.65,BANK_002,PFSET_00000168,PAY_000965,PAY_007941
SET_000169,2025-09-22T00:27:23,PayFlow,INR,32,52165.89,0.00,52165.89,BANK_002,PFSET_00000169,PAY_006769,PAY_002937
SET_000170,2025-09-19T23:54:49,PayFlow,INR,40,46010.01,0.00,46010.01,BANK_002,PFSET_00000170,PAY_005484,PAY_001697
SET_000171,2025-09-19T03:10:33,PayFlow,INR,36,35299.74,0.00,35299.74,BANK_002,PFSET_00000171,PAY_007004,PAY_000523
SET_000172,2025-09-21T03:42:29,PayFlow,INR,32,41041.09,1236.64,39804.45,BANK_002,PFSET_00000172,PAY_000307,PAY_002819
SET_000173,2025-09-20T23:11:13,PayFlow,INR,42,53391.56,0.00,53391.56,BANK_002,PFSET_00000173,PAY_008533,PAY_000403
SET_000174,2025-09-21T22:54:18,PayFlow,INR,25,29267.72,0.00,29267.72,BANK_002,PFSET_00000174,PAY_003093,PAY_003761
SET_000175,2025-09-21T23:29:08,PayFlow,INR,43,39933.07,0.00,39933.07,BANK_002,PFSET_00000175,PAY_003402,PAY_002652
SET_000176,2025-09-21T18:20:34,PayFlow,INR,36,35700.24,0.00,35700.24,BANK_002,PFSET_00000176,PAY_003294,PAY_006084
SET_000177,2025-09-22T21:10:02,PayFlow,INR,38,40487.87,0.00,40487.87,BANK_002,PFSET_00000177,PAY_004405,PAY_007473
SET_000178,2025-09-19T21:18:01,PayFlow,INR,33,34987.77,0.00,34987.77,BANK_002,PFSET_00000178,PAY_001878,PAY_008630
SET_000179,2025-09-22T00:56:32,PayFlow,INR,29,26022.39,596.02,25426.37,BANK_002,PFSET_00000179,PAY_005164,PAY_008857
SET_000180,2025-09-22T00:32:34,PayFlow,INR,30,30002.13,0.00,30002.13,BANK_002,PFSET_00000180,PAY_009322,PAY_006272
SET_000181,2025-09-21T02:01:29,PayFlow,INR,27,40265.17,0.00,40265.17,BANK_002,PFSET_00000181,PAY_008059,PAY_003103
SET_000182,2025-09-23T02:29:42,PayFlow,INR,31,38807.08,0.00,38807.08,BANK_002,PFSET_00000182,PAY_002743,PAY_000291
SET_000183,2025-09-21T22:01:22,PayFlow,INR,25,28088.18,0.00,28088.18,BANK_002,PFSET_00000183,PAY_003859,PAY_008814
SET_000184,2025-09-22T04:18:39,PayFlow,INR,28,35096.44,0.00,35096.44,BANK_002,PFSET_00000184,PAY_002625,PAY_000036
SET_000185,2025-09-19T23:35:17,PayFlow,INR,36,40195.21,0.00,40195.21,BANK_002,PFSET_00000185,PAY_000632,PAY_009863
SET_000186,2025-09-23T17:42:25,PayFlow,INR,34,41623.66,0.00,41623.66,BANK_002,PFSET_00000186,PAY_005246,PAY_002877
SET_000187,2025-09-22T20:20:18,PayFlow,INR,37,47077.85,4532.38,42545.47,BANK_002,PFSET_00000187,PAY_008254,PAY_000724
SET_000188,2025-09-20T23:24:14,PayFlow,INR,28,38385.88,0.00,38385.88,BANK_002,PFSET_00000188,PAY_008682,PAY_006935
SET_000189,2025-09-22T02:02:15,PayFlow,INR,39,51027.15,0.00,51027.15,BANK_002,PFSET_00000189,PAY_009359,PAY_007698
