vendor_payment_id,vendor_invoice_id,vendor_id,payment_date,payment_account_id,amount,currency,payment_method,status,bank_reference
VPAY_000036,VINV_000036,VEND_000077,2025-10-14T02:34:00,BANK_003,153370.50,INR,BANK_TRANSFER,SUCCESS,VENDPAY_00000036
VPAY_000037,VINV_000037,VEND_000047,2025-10-24T19:46:00,BANK_003,148222.16,INR,BANK_TRANSFER,SUCCESS,VENDPAY_00000037
VPAY_000038,VINV_000038,VEND_000073,2025-10-20T00:35:00,BANK_003,77461.10,INR,BANK_TRANSFER,SUCCESS,VENDPAY_00000038
VPAY_000039,VINV_000039,VEND_000009,2025-10-21T20:26:00,BANK_003,217881.10,INR,BANK_TRANSFER,SUCCESS,VENDPAY_00000039
VPAY_000040,VINV_000040,VEND_000071,2025-10-11T02:33:00,BANK_003,104178.66,INR,BANK_TRANSFER,SUCCESS,VENDPAY_00000040
VPAY_000041,VINV_000041,VEND_000028,2025-10-29T00:16:00,BANK_003,219920.14,INR,BANK_TRANSFER,SUCCESS,VENDPAY_00000041
VPAY_000042,VINV_000042,VEND_000040,2025-11-07T21:36:00,BANK_003,176519.74,INR,BANK_TRANSFER,SUCCESS,VENDPAY_00000042
VPAY_000043,VINV_000043,VEND_000057,2025-10-16T22:16:00,BANK_003,213201.22,INR,BANK_TRANSFER,SUCCESS,VENDPAY_00000043
VPAY_000044,VINV_000044,VEND_000029,2025-10-12T21:35:00,BANK_003,61784.00,INR,BANK_TRANSFER,SUCCESS,VENDPAY_00000044
VPAY_000045,VINV_000045,VEND_000076,2025-10-05T19:42:00,BANK_003,121219.04,INR,BANK_TRANSFER,SUCCESS,VENDPAY_00000045
VPAY_000046,VINV_000046,VEND_000030,2025-10-03T20:02:00,BANK_003,73948.24,INR,BANK_TRANSFER,SUCCESS,VENDPAY_00000046
VPAY_000047,VINV_000047,VEND_000010,2025-10-11T22:20:00,BANK_003,212142.76,INR,BANK_TRANSFER,SUCCESS,VENDPAY_00000047
VPAY_000048,VINV_000048,VEND_000028,2025-10-06T20:51:00,BANK_003,219900.08,INR,BANK_TRANSFER,SUCCESS,VENDPAY_00000048
VPAY_000049,VINV_000049,VEND_000032,2025-10-15T21:00:00,BANK_003,168987.00,INR,BANK_TRANSFER,SUCCESS,VENDPAY_00000049
VPAY_000050,VINV_000050,VEND_000013,2025-10-30T21:30:00,BANK_003,256942.64,INR,BANK_TRANSFER,SUCCESS,VENDPAY_00000050
VPAY_000051,VINV_000051,VEND_000053,2025-10-25T21:19:00,BANK_003,167427.00,INR,BANK_TRANSFER,SUCCESS,VENDPAY_00000051
VPAY_000052,VINV_000052,VEND_000008,2025-10-26T01:34:00,BANK_003,150544.00,INR,BANK_TRANSFER,SUCCESS,VENDPAY_00000052
VPAY_000053,VINV_000053,VEND_000032,2025-10-11T23:19:00,BANK_003,95224.00,INR,BANK_TRANSFER,SUCCESS,VENDPAY_00000053
VPAY_000054,VINV_000054,VEND_000018,2025-10-23T00:45:00,BANK_003,183599.74,INR,BANK_TRANSFER,SUCCESS,VENDPAY_00000054
VPAY_000055,VINV_000055,VEND_000032,2025-10-17T02:58:00,BANK_003,64761.00,INR,BANK_TRANSFER,SUCCESS,VENDPAY_00000055
VPAY_000056,VINV_000056,VEND_000007,2025-11-03T21:14:00,BANK_003,215955.00,INR,BANK_TRANSFER,SUCCESS,VENDPAY_00000056
VPAY_000057,VINV_000057,VEND_000012,2025-10-02T23:03:00,BANK_003,126218.70,INR,BANK_TRANSFER,SUCCESS,VENDPAY_00000057
VPAY_000058,VINV_000058,VEND_000062,2025-10-14T21:42:00,BANK_003,101032.00,INR,BANK_TRANSFER,SUCCESS,VENDPAY_00000058
VPAY_000059,VINV_000059,VEND_000022,2025-10-17T22:28:00,BANK_003,170327.10,INR,BANK_TRANSFER,SUCCESS,VENDPAY_00000059
VPAY_000060,VINV_000060,VEND_000059,2025-10-17T21:16:00,BANK_003,141335.68,INR,BANK_TRANSFER,SUCCESS,VENDPAY_00000060
VPAY_000061,VINV_000061,VEND_000020,2025-10-27T02:26:00,BANK_003,111840.40,INR,BANK_TRANSFER,SUCCESS,VENDPAY_00000061
VPAY_000062,VINV_000062,VEND_000075,2025-10-19T03:02:00,BANK_003,220816.94,INR,BANK_TRANSFER,SUCCESS,VENDPAY_00000062
VPAY_000063,VINV_000063,VEND_000008,2025-10-21T01:42:00,BANK_003,58144.00,INR,BANK_TRANSFER,SUCCESS,VENDPAY_00000063
VPAY_000064,VINV_000064,VEND_000008,2025-10-01T01:21:00,BANK_003,178124.00,INR,BANK_TRANSFER,SUCCESS,VENDPAY_00000064
VPAY_000065,VINV_000065,VEND_000009,2025-10-19T20:26:00,BANK_003,237161.12,INR,BANK_TRANSFER,SUCCESS,VENDPAY_00000065
VPAY_000066,VINV_000066,VEND_000052,2025-10-20T20:18:00,BANK_003,90183.86,INR,BANK_TRANSFER,SUCCESS,VENDPAY_00000066
VPAY_000067,VINV_000067,VEND_000080,2025-10-31T01:33:00,BANK_003,78459.38,INR,BANK_TRANSFER,SUCCESS,VENDPAY_00000067
VPAY_000068,VINV_000068,VEND_000034,2025-10-23T22:57:00,BANK_003,116283.10,INR,BANK_TRANSFER,SUCCESS,VENDPAY_00000068
VPAY_000069,VINV_000069,VEND_000031,2025-10-10T21:35:00,BANK_003,135262.22,INR,BANK_TRANSFER,SUCCESS,VENDPAY_00000069
VPAY_000070,VINV_000070,VEND_000059,2025-09-30T22:55:00,BANK_003,150901.94,INR,BANK_TRANSFER,SUCCESS,VENDPAY_00000070
VPAY_000071,VINV_000071,VEND_000080,2025-10-22T20:07:00,BANK_003,227250.30,INR,BANK_TRANSFER,SUCCESS,VENDPAY_00000071
VPAY_000072,VINV_000072,VEND_000065,2025-10-06T20:04:00,BANK_003,135133.60,INR,BANK_TRANSFER,SUCCESS,VENDPAY_00000072
VPAY_000073,VINV_000073,VEND_000009,2025-10-29T21:44:00,BANK_003,128663.66,INR,BANK_TRANSFER,SUCCESS,VENDPAY_00000073
VPAY_000074,VINV_000074,VEND_000057,2025-10-24T23:14:00,BANK_003,221133.18,INR,BANK_TRANSFER,SUCCESS,VENDPAY_00000074
VPAY_000075,VINV_000075,VEND_000086,2025-10-11T20:09:00,BANK_003,190385.00,INR,BANK_TRANSFER,SUCCESS,VENDPAY_00000075
VPAY_000076,VINV_000076,VEND_000018,2025-10-21T02:12:00,BANK_003,134907.04,INR,BANK_TRANSFER,SUCCESS,VENDPAY_00000076
VPAY_000077,VINV_000077,VEND_000071,2025-10-12T23:45:00,BANK_003,101183.82,INR,BANK_TRANSFER,SUCCESS,VENDPAY_00000077
VPAY_000078,VINV_000078,VEND_000044,2025-10-24T02:49:00,BANK_003,116077.78,INR,BANK_TRANSFER,SUCCESS,VENDPAY_00000078
VPAY_000079,VINV_000079,VEND_000065,2025-10-08T20:34:00,BANK_003,204216.70,INR,BANK_TRANSFER,SUCCESS,VENDPAY_00000079
VPAY_000080,VINV_000080,VEND_000012,2025-10-15T20:40:00,BANK_003,249302.14,INR,BANK_TRANSFER,SUCCESS,VENDPAY_00000080
VPAY_000081,VINV_000081,VEND_000006,2025-10-12T20:26:00,BANK_003,54196.22,INR,BANK_TRANSFER,SUCCESS,VENDPAY_00000081
VPAY_000082,VINV_000082,VEND_000082,2025-10-22T21:50:00,BANK_003,134130.60,INR,BANK_TRANSFER,SUCCESS,VENDPAY_00000082
VPAY_000083,VINV_000083,VEND_000071,2025-10-20T21:04:00,BANK_003,185395.70,INR,BANK_TRANSFER,SUCCESS,VENDPAY_00000083
VPAY_000084,VINV_000084,VEND_000010,2025-10-19T22:27:00,BANK_003,99206.14,INR,BANK_TRANSFER,SUCCESS,VENDPAY_00000084
VPAY_000085,VINV_000085,VEND_000075,2025-10-16T23:04:00,BANK_003,224012.38,INR,BANK_TRANSFER,SUCCESS,VENDPAY_00000085
VPAY_000086,VINV_000086,VEND_000006,2025-10-13T21:23:00,BANK_003,148453.44,INR,BANK_TRANSFER,SUCCESS,VENDPAY_00000086
VPAY_000087,VINV_000087,VEND_000046,2025-11-08T01:14:00,BANK_003,118082.60,INR,BANK_TRANSFER,SUCCESS,VENDPAY_00000087
VPAY_000088,VINV_000088,VEND_000046,2025-10-31T00:54:00,BANK_003,226288.60,INR,BANK_TRANSFER,SUCCESS,VENDPAY_00000088
VPAY_000089,VINV_000089,VEND_000031,2025-10-07T22:38:00,BANK_003,103365.64,INR,BANK_TRANSFER,SUCCESS,VENDPAY_00000089
VPAY_000090,VINV_000090,VEND_000004,2025-10-26T03:19:00,BANK_003,108581.24,INR,BANK_TRANSFER,SUCCESS,VENDPAY_00000090
VPAY_000091,VINV_000091,VEND_000053,2025-10-11T19:39:00,BANK_003,110055.00,INR,BANK_TRANSFER,SUCCESS,VENDPAY_00000091
VPAY_000092,VINV_000092,VEND_000049,2025-10-17T20:18:00,BANK_003,65078.18,INR,BANK_TRANSFER,SUCCESS,VENDPAY_00000092
VPAY_000093,VINV_000093,VEND_000059,2025-10-12T00:00:00,BANK_003,161258.80,INR,BANK_TRANSFER,SUCCESS,VENDPAY_00000093
VPAY_000094,VINV_000094,VEND_000029,2025-10-24T22:35:00,BANK_003,51203.00,INR,BANK_TRANSFER,SUCCESS,VENDPAY_00000094
VPAY_000095,VINV_000095,VEND_000043,2025-10-20T03:42:00,BANK_003,139280.12,INR,BANK_TRANSFER,SUCCESS,VENDPAY_00000095
VPAY_000096,VINV_000096,VEND_000045,2025-10-19T00:04:00,BANK_003,251528.80,INR,BANK_TRANSFER,SUCCESS,VENDPAY_00000096
VPAY_000097,VINV_000097,VEND_000004,2025-10-13T19:53:00,BANK_003,88778.48,INR,BANK_TRANSFER,SUCCESS,VENDPAY_00000097
VPAY_000098,VINV_000098,VEND_000005,2025-10-22T00:26:00,BANK_003,86632.06,INR,BANK_TRANSFER,SUCCESS,VENDPAY_00000098
VPAY_000099,VINV_000099,VEND_000041,2025-10-21T21:48:00,BANK_003,188089.64,INR,BANK_TRANSFER,SUCCESS,VENDPAY_00000099
VPAY_000100,VINV_000100,VEND_000050,2025-10-07T21:33:00,BANK_003,231455.82,INR,BANK_TRANSFER,SUCCESS,VENDPAY_00000100
VPAY_000101,VINV_000101,VEND_000056,2025-11-02T23:44:00,BANK_003,53622.74,INR,BANK_TRANSFER,SUCCESS,VENDPAY_00000101
VPAY_000102,VINV_000102,VEND_000047,2025-10-20T00:14:00,BANK_003,186513.16,INR,BANK_TRANSFER,SUCCESS,VENDPAY_00000102
VPAY_000103,VINV_000103,VEND_000080,2025-11-07T19:59:00,BANK_003,150203.38,INR,BANK_TRANSFER,SUCCESS,VENDPAY_00000103
VPAY_000104,VINV_000104,VEND_000039,2025-10-26T23:44:00,BANK_003,209968.02,INR,BANK_TRANSFER,SUCCESS,VENDPAY_00000104
VPAY_000105,VINV_000105,VEND_000042,2025-10-22T23:28:00,BANK_003,177573.48,INR,BANK_TRANSFER,SUCCESS,VENDPAY_00000105
VPAY_000106,VINV_000106,VEND_000025,2025-10-24T01:59:00,BANK_003,183156.06,INR,BANK_TRANSFER,SUCCESS,VENDPAY_00000106
VPAY_000107,VINV_000107,VEND_000079,2025-10-10T21:59:00,BANK_003,229140.66,INR,BANK_TRANSFER,SUCCESS,VENDPAY_00000107
VPAY_000108,VINV_000108,VEND_000039,2025-10-20T21:54:00,BANK_003,141850.16,INR,BANK_TRANSFER,SUCCESS,VENDPAY_00000108
VPAY_000109,VINV_000109,VEND_000060,2025-10-14T01:40:00,BANK_003,189756.98,INR,BANK_TRANSFER,SUCCESS,VENDPAY_00000109
VPAY_000110,VINV_000110,VEND_000066,2025-10-27T00:23:00,BANK_003,199469.56,INR,BANK_TRANSFER,SUCCESS,VENDPAY_00000110
VPAY_000111,VINV_000111,VEND_000037,2025-11-07T21:02:00,BANK_003,212543.96,INR,BANK_TRANSFER,SUCCESS,VENDPAY_00000111
VPAY_000112,VINV_000112,VEND_000012,2025-10-24T01:58:00,BANK_003,125751.42,INR,BANK_TRANSFER,SUCCESS,VENDPAY_00000112
VPAY_000113,VINV_000113,VEND_000026,2025-10-17T22:57:00,BANK_003,98679.86,INR,BANK_TRANSFER,SUCCESS,VENDPAY_00000113
VPAY_000114,VINV_000114,VEND_000061,2025-10-03T01:30:00,BANK_003,242184.38,INR,BANK_TRANSFER,SUCCESS,VENDPAY_00000114
VPAY_000115,VINV_000115,VEND_000081,2025-10-21T02:36:00,BANK_003,231171.44,INR,BANK_TRANSFER,SUCCESS,VENDPAY_00000115
VPAY_000116,VINV_000116,VEND_000064,2025-10-09T22:26:00,BANK_003,176723.88,INR,BANK_TRANSFER,SUCCESS,VENDPAY_00000116
VPAY_000117,VINV_000117,VEND_000014,2025-10-24T02:06:00,BANK_003,184609.82,INR,BANK_TRANSFER,SUCCESS,VENDPAY_00000117
VPAY_000118,VINV_000118,VEND_000007,2025-10-20T23:10:00,BANK_003,191120.00,INR,BANK_TRANSFER,SUCCESS,VENDPAY_00000118
VPAY_000119,VINV_000119,VEND_000059,2025-10-17T03:04:00,BANK_003,94345.72,INR,BANK_TRANSFER,SUCCESS,VENDPAY_00000119
VPAY_000120,VINV_000120,VEND_000057,2025-10-25T23:11:00,BANK_003,242611.54,INR,BANK_TRANSFER,SUCCESS,VENDPAY_00000120
VPAY_000121,VINV_000121,VEND_000071,2025-10-06T02:08:00,BANK_003,191033.74,INR,BANK_TRANSFER,SUCCESS,VENDPAY_00000121
VPAY_000122,VINV_000122,VEND_000058,2025-10-09T21:42:00,BANK_003,133275.10,INR,BANK_TRANSFER,SUCCESS,VENDPAY_00000122
VPAY_000123,VINV_000123,VEND_000067,2025-10-23T01:58:00,BANK_003,203000.12,INR,BANK_TRANSFER,SUCCESS,VENDPAY_00000123
VPAY_000124,VINV_000124,VEND_000057,2025-10-28T00:19:00,BANK_003,77066.98,INR,BANK_TRANSFER,SUCCESS,VENDPAY_00000124
VPAY_000125,VINV_000125,VEND_000035,2025-10-09T22:34:00,BANK_003,156987.20,INR,BANK_TRANSFER,SUCCESS,VENDPAY_00000125
VPAY_000126,VINV_000126,VEND_000018,2025-10-26T19:30:00,BANK_003,99756.02,INR,BANK_TRANSFER,SUCCESS,VENDPAY_00000126
VPAY_000127,VINV_000127,VEND_000028,2025-10-16T01:12:00,BANK_003,72967.66,INR,BANK_TRANSFER,SUCCESS,VENDPAY_00000127
VPAY_000128,VINV_000128,VEND_000070,2025-10-31T01:41:00,BANK_003,197224.02,INR,BANK_TRANSFER,SUCCESS,VENDPAY_00000128
VPAY_000129,VINV_000129,VEND_000054,2025-11-06T02:41:00,BANK_003,173576.82,INR,BANK_TRANSFER,SUCCESS,VENDPAY_00000129
VPAY_000130,VINV_000130,VEND_000074,2025-10-17T23:02:00,BANK_003,170762.52,INR,BANK_TRANSFER,SUCCESS,VENDPAY_00000130
VPAY_000131,VINV_000131,VEND_000039,2025-10-30T20:07:00,BANK_003,173733.76,INR,BANK_TRANSFER,SUCCESS,VENDPAY_00000131
VPAY_000132,VINV_000132,VEND_000063,2025-10-13T22:50:00,BANK_003,120973.60,INR,BANK_TRANSFER,SUCCESS,VENDPAY_00000132
VPAY_000133,VINV_000133,VEND_000004,2025-10-13T01:21:00,BANK_003,173384.48,INR,BANK_TRANSFER,SUCCESS,VENDPAY_00000133
VPAY_000134,VINV_000134,VEND_000022,2025-10-21T21:25:00,BANK_003,197677.14,INR,BANK_TRANSFER,SUCCESS,VENDPAY_00000134
VPAY_000135,VINV_000135,VEND_000051,2025-11-08T00:24:00,BANK_003,236189.98,INR,BANK_TRANSFER,SUCCESS,VENDPAY_00000135
VPAY_000136,VINV_000136,VEND_000011,2025-10-31T01:52:00,BANK_003,251920.56,INR,BANK_TRANSFER,SUCCESS,VENDPAY_00000136
VPAY_000137,VINV_000137,VEND_000024,2025-10-10T21:36:00,BANK_003,68653.58,INR,BANK_TRANSFER,SUCCESS,VENDPAY_00000137
VPAY_000138,VINV_000138,VEND_000028,2025-10-13T02:04:00,BANK_003,193751.28,INR,BANK_TRANSFER,SUCCESS,VENDPAY_00000138
VPAY_000139,VINV_000139,VEND_000036,2025-10-10T22:32:00,BANK_003,183501.80,INR,BANK_TRANSFER,SUCCESS,VENDPAY_00000139
VPAY_000140,VINV_000140,VEND_000061,2025-10-26T02:09:00,BANK_003,59095.58,INR,BANK_TRANSFER,SUCCESS,VENDPAY_00000140
VPAY_000141,VINV_000141,VEND_000045,2025-10-22T23:22:00,BANK_003,122458.04,INR,BANK_TRANSFER,SUCCESS,VENDPAY_00000141
VPAY_000142,VINV_000142,VEND_000004,2025-10-09T01:22:00,BANK_003,129591.14,INR,BANK_TRANSFER,SUCCESS,VENDPAY_00000142
VPAY_000143,VINV_000143,VEND_000080,2025-10-24T22:40:00,BANK_003,100236.28,INR,BANK_TRANSFER,SUCCESS,VENDPAY_00000143
VPAY_000144,VINV_000144,VEND_000086,2025-10-20T21:55:00,BANK_003,74986.00,INR,BANK_TRANSFER,SUCCESS,VENDPAY_00000144
VPAY_000145,VINV_000145,VEND_000090,2025-10-09T00:15:00,BANK_003,132362.96,INR,BANK_TRANSFER,SUCCESS,VENDPAY_00000145
VPAY_000146,VINV_000146,VEND_000021,2025-10-20T23:20:00,BANK_003,149312.48,INR,BANK_TRANSFER,SUCCESS,VENDPAY_00000146
VPAY_000147,VINV_000147,VEND_000040,2025-11-07T23:07:00,BANK_003,231210.38,INR,BANK_TRANSFER,SUCCESS,VENDPAY_00000147
VPAY_000148,VINV_000148,VEND_000051,2025-10-18T03:16:00,BANK_003,114448.20,INR,BANK_TRANSFER,SUCCESS,VENDPAY_00000148
VPAY_000149,VINV_000149,VEND_000014,2025-11-07T21:07:00,BANK_003,146388.44,INR,BANK_TRANSFER,SUCCESS,VENDPAY_00000149
VPAY_000150,VINV_000150,VEND_000073,2025-10-28T23:19:00,BANK_003,65803.88,INR,BANK_TRANSFER,SUCCESS,VENDPAY_00000150
VPAY_000151,VINV_000151,VEND_000085,2025-10-20T02:57:00,BANK_003,167727.56,INR,BANK_TRANSFER,SUCCESS,VENDPAY_00000151
VPAY_000152,VINV_000152,VEND_000002,2025-11-01T20:03:00,BANK_003,183035.70,INR,BANK_TRANSFER,SUCCESS,VENDPAY_00000152
VPAY_000153,VINV_000153,VEND_000047,2025-10-31T21:34:00,BANK_003,249704.52,INR,BANK_TRANSFER,SUCCESS,VENDPAY_00000153
VPAY_000154,VINV_000154,VEND_000056,2025-11-09T22:24:00,BANK_003,107584.14,INR,BANK_TRANSFER,SUCCESS,VENDPAY_00000154
VPAY_000155,VINV_000155,VEND_000079,2025-10-21T02:32:00,BANK_003,219572.04,INR,BANK_TRANSFER,SUCCESS,VENDPAY_00000155
VPAY_000156,VINV_000156,VEND_000076,2025-10-12T21:23:00,BANK_003,136122.44,INR,BANK_TRANSFER,SUCCESS,VENDPAY_00000156
VPAY_000157,VINV_000157,VEND_000012,2025-10-13T01:03:00,BANK_003,139380.42,INR,BANK_TRANSFER,SUCCESS,VENDPAY_00000157
VPAY_000158,VINV_000158,VEND_000073,2025-11-08T02:17:00,BANK_003,241892.92,INR,BANK_TRANSFER,SUCCESS,VENDPAY_00000158
VPAY_000159,VINV_000159,VEND_000004,2025-10-14T21:58:00,BANK_003,206003.22,INR,BANK_TRANSFER,SUCCESS,VENDPAY_00000159
VPAY_000160,VINV_000160,VEND_000028,2025-10-11T02:37:00,BANK_003,162857.70,INR,BANK_TRANSFER,SUCCESS,VENDPAY_00000160
VPAY_000161,VINV_000161,VEND_000077,2025-10-19T23:49:00,BANK_003,138557.96,INR,BANK_TRANSFER,SUCCESS,VENDPAY_00000161
VPAY_000162,VINV_000162,VEND_000011,2025-11-10T03:06:00,BANK_003,127758.60,INR,BANK_TRANSFER,SUCCESS,VENDPAY_00000162
VPAY_000163,VINV_000163,VEND_000072,2025-10-25T02:34:00,BANK_003,127438.82,INR,BANK_TRANSFER,SUCCESS,VENDPAY_00000163
VPAY_000164,VINV_000164,VEND_000058,2025-10-04T22:35:00,BANK_003,58433.60,INR,BANK_TRANSFER,SUCCESS,VENDPAY_00000164
VPAY_000165,VINV_000165,VEND_000052,2025-10-11T20:50:00,BANK_003,128360.40,INR,BANK_TRANSFER,SUCCESS,VENDPAY_00000165
VPAY_000166,VINV_000166,VEND_000061,2025-10-14T22:07:00,BANK_003,224305.02,INR,BANK_TRANSFER,SUCCESS,VENDPAY_00000166
VPAY_000167,VINV_000167,VEND_000071,2025-10-14T02:10:00,BANK_003,155422.52,INR,BANK_TRANSFER,SUCCESS,VENDPAY_00000167
VPAY_000168,VINV_000168,VEND_000035,2025-10-11T02:40:00,BANK_003,147947.22,INR,BANK_TRANSFER,SUCCESS,VENDPAY_00000168
VPAY_000169,VINV_000169,VEND_000025,2025-10-02T02:44:00,BANK_003,150708.42,INR,BANK_TRANSFER,SUCCESS,VENDPAY_00000169
VPAY_000170,VINV_000170,VEND_000025,2025-10-25T20:24:00,BANK_003,120033.14,INR,BANK_TRANSFER,SUCCESS,VENDPAY_00000170
VPAY_000171,VINV_000171,VEND_000076,2025-10-22T01:48:00,BANK_003,215385.40,INR,BANK_TRANSFER,SUCCESS,VENDPAY_00000171
VPAY_000172,VINV_000172,VEND_000025,2025-10-07T00:11:00,BANK_003,144737.62,INR,BANK_TRANSFER,SUCCESS,VENDPAY_00000172
VPAY_000173,VINV_000173,VEND_000039,2025-11-09T02:08:00,BANK_003,57475.44,INR,BANK_TRANSFER,SUCCESS,VENDPAY_00000173
VPAY_000174,VINV_000174,VEND_000036,2025-10-03T23:06:00,BANK_003,67178.58,INR,BANK_TRANSFER,SUCCESS,VENDPAY_00000174
VPAY_000175,VINV_000175,VEND_000090,2025-10-23T02:26:00,BANK_003,92161.54,INR,BANK_TRANSFER,SUCCESS,VENDPAY_00000175
VPAY_000176,VINV_000176,VEND_000014,2025-11-02T02:04:00,BANK_003,56893.70,INR,BANK_TRANSFER,SUCCESS,VENDPAY_00000176
VPAY_000177,VINV_000177,VEND_000062,2025-10-08T21:50:00,BANK_003,160466.00,INR,BANK_TRANSFER,SUCCESS,VENDPAY_00000177
VPAY_000178,VINV_000178,VEND_000033,2025-10-06T02:29:00,BANK_003,200874.94,INR,BANK_TRANSFER,SUCCESS,VENDPAY_00000178
