vendor_invoice_id,vendor_id,vendor_category,invoice_date,due_date,invoice_type,description,subtotal,tax_amount,total_amount,currency,status,purchase_reference,handles_cod
VINV_000069,VEND_000031,GOODS,2025-09-14T10:08:00,2025-10-14T10:08:00,GOODS,Packaging and merchandise supplies,114629.00,20633.22,135262.22,INR,APPROVED,PO_00000069,N
VINV_000070,VEND_000059,GOODS,2025-09-04T10:00:00,2025-10-04T10:00:00,GOODS,Product stock replenishment,127883.00,23018.94,150901.94,INR,APPROVED,PO_00000070,N
VINV_000071,VEND_000080,GOODS,2025-09-05T10:04:00,2025-10-20T10:04:00,GOODS,Merchandise procurement,192585.00,34665.30,227250.30,INR,APPROVED,PO_00000071,N
VINV_000072,VEND_000065,GOODS,2025-09-06T10:59:00,2025-10-06T10:59:00,GOODS,Packaging and merchandise supplies,114520.00,20613.60,135133.60,INR,APPROVED,PO_00000072,N
VINV_000073,VEND_000009,GOODS,2025-09-13T10:18:00,2025-10-28T10:18:00,GOODS,Merchandise procurement,109037.00,19626.66,128663.66,INR,APPROVED,PO_00000073,N
VINV_000074,VEND_000057,GOODS,2025-09-24T10:19:00,2025-10-24T10:19:00,GOODS,Inventory replenishment,187401.00,33732.18,221133.18,INR,APPROVED,PO_00000074,N
VINV_000075,VEND_000086,GOODS,2025-09-11T10:59:00,2025-10-11T10:59:00,GOODS,Inventory replenishment,190385.00,0.00,190385.00,INR,APPROVED,PO_00000075,N
VINV_000076,VEND_000018,GOODS,2025-09-05T10:56:00,2025-10-20T10:56:00,GOODS,Inventory replenishment,114328.00,20579.04,134907.04,INR,APPROVED,PO_00000076,N
VINV_000077,VEND_000071,GOODS,2025-09-10T10:18:00,2025-10-10T10:18:00,GOODS,Merchandise procurement,85749.00,15434.82,101183.82,INR,APPROVED,PO_00000077,N
VINV_000078,VEND_000044,GOODS,2025-09-23T10:40:00,2025-10-23T10:40:00,GOODS,Packaging and merchandise supplies,98371.00,17706.78,116077.78,INR,APPROVED,PO_00000078,N
VINV_000079,VEND_000065,GOODS,2025-09-10T10:57:00,2025-10-10T10:57:00,GOODS,Inventory replenishment,173065.00,31151.70,204216.70,INR,APPROVED,PO_00000079,N
VINV_000080,VEND_000012,GOODS,2025-09-15T10:53:00,2025-10-15T10:53:00,GOODS,Packaging and merchandise supplies,211273.00,38029.14,249302.14,INR,APPROVED,PO_00000080,N
VINV_000081,VEND_000006,GOODS,2025-09-12T10:49:00,2025-10-12T10:49:00,GOODS,Merchandise procurement,45929.00,8267.22,54196.22,INR,APPROVED,PO_00000081,N
VINV_000082,VEND_000082,GOODS,2025-09-07T10:47:00,2025-10-22T10:47:00,GOODS,Product stock replenishment,113670.00,20460.60,134130.60,INR,APPROVED,PO_00000082,N
VINV_000083,VEND_000071,GOODS,2025-09-19T10:00:00,2025-10-19T10:00:00,GOODS,Inventory replenishment,157115.00,28280.70,185395.70,INR,APPROVED,PO_00000083,N
VINV_000084,VEND_000010,GOODS,2025-09-19T10:02:00,2025-10-19T10:02:00,GOODS,Packaging and merchandise supplies,84073.00,15133.14,99206.14,INR,APPROVED,PO_00000084,N
VINV_000085,VEND_000075,GOODS,2025-09-06T10:27:00,2025-10-21T10:27:00,GOODS,Merchandise procurement,189841.00,34171.38,224012.38,INR,APPROVED,PO_00000085,N
VINV_000086,VEND_000006,GOODS,2025-09-13T10:57:00,2025-10-13T10:57:00,GOODS,Inventory replenishment,125808.00,22645.44,148453.44,INR,APPROVED,PO_00000086,N
VINV_000087,VEND_000046,GOODS,2025-09-23T10:15:00,2025-11-07T10:15:00,GOODS,Inventory replenishment,100070.00,18012.60,118082.60,INR,APPROVED,PO_00000087,N
VINV_000088,VEND_000046,GOODS,2025-09-15T10:39:00,2025-10-30T10:39:00,GOODS,Merchandise procurement,191770.00,34518.60,226288.60,INR,APPROVED,PO_00000088,N
VINV_000089,VEND_000031,GOODS,2025-09-07T10:56:00,2025-10-07T10:56:00,GOODS,Product stock replenishment,87598.00,15767.64,103365.64,INR,APPROVED,PO_00000089,N
VINV_000090,VEND_000004,GOODS,2025-09-25T10:59:00,2025-10-25T10:59:00,GOODS,Packaging and merchandise supplies,92018.00,16563.24,108581.24,INR,APPROVED,PO_00000090,N
VINV_000091,VEND_000053,GOODS,2025-09-10T10:10:00,2025-10-10T10:10:00,GOODS,Inventory replenishment,110055.00,0.00,110055.00,INR,APPROVED,PO_00000091,N
VINV_000092,VEND_000049,GOODS,2025-09-17T10:14:00,2025-10-17T10:14:00,GOODS,Merchandise procurement,55151.00,9927.18,65078.18,INR,APPROVED,PO_00000092,N
VINV_000093,VEND_000059,GOODS,2025-09-11T10:52:00,2025-10-11T10:52:00,GOODS,Merchandise procurement,136660.00,24598.80,161258.80,INR,APPROVED,PO_00000093,N
VINV_000094,VEND_000029,GOODS,2025-09-23T10:12:00,2025-10-23T10:12:00,GOODS,Product stock replenishment,51203.00,0.00,51203.00,INR,APPROVED,PO_00000094,N
VINV_000095,VEND_000043,GOODS,2025-09-04T10:49:00,2025-10-19T10:49:00,GOODS,Packaging and merchandise supplies,118034.00,21246.12,139280.12,INR,APPROVED,PO_00000095,N
VINV_000096,VEND_000045,GOODS,2025-09-18T10:25:00,2025-10-18T10:25:00,GOODS,Packaging and merchandise supplies,213160.00,38368.80,251528.80,INR,APPROVED,PO_00000096,N
VINV_000097,VEND_000004,GOODS,2025-09-10T10:11:00,2025-10-10T10:11:00,GOODS,Packaging and merchandise supplies,75236.00,13542.48,88778.48,INR,APPROVED,PO_00000097,N
VINV_000098,VEND_000005,GOODS,2025-09-21T10:27:00,2025-10-21T10:27:00,GOODS,Packaging and merchandise supplies,73417.00,13215.06,86632.06,INR,APPROVED,PO_00000098,N
VINV_000099,VEND_000041,GOODS,2025-09-21T10:32:00,2025-10-21T10:32:00,GOODS,Inventory replenishment,159398.00,28691.64,188089.64,INR,APPROVED,PO_00000099,N
VINV_000100,VEND_000050,GOODS,2025-09-08T10:16:00,2025-10-08T10:16:00,GOODS,Inventory replenishment,196149.00,35306.82,231455.82,INR,APPROVED,PO_00000100,N
VINV_000101,VEND_000056,GOODS,2025-09-18T10:59:00,2025-11-02T10:59:00,GOODS,Merchandise procurement,45443.00,8179.74,53622.74,INR,APPROVED,PO_00000101,N
VINV_000102,VEND_000047,GOODS,2025-09-04T10:42:00,2025-10-19T10:42:00,GOODS,Packaging and merchandise supplies,158062.00,28451.16,186513.16,INR,APPROVED,PO_00000102,N
VINV_000103,VEND_000080,GOODS,2025-09-23T10:54:00,2025-11-07T10:54:00,GOODS,Inventory replenishment,127291.00,22912.38,150203.38,INR,APPROVED,PO_00000103,N
VINV_000104,VEND_000039,GOODS,2025-09-11T10:42:00,2025-10-26T10:42:00,GOODS,Product stock replenishment,177939.00,32029.02,209968.02,INR,APPROVED,PO_00000104,N
VINV_000105,VEND_000042,GOODS,2025-09-24T10:18:00,2025-10-24T10:18:00,GOODS,Merchandise procurement,150486.00,27087.48,177573.48,INR,APPROVED,PO_00000105,N
VINV_000106,VEND_000025,GOODS,2025-09-23T10:24:00,2025-10-23T10:24:00,GOODS,Merchandise procurement,155217.00,27939.06,183156.06,INR,APPROVED,PO_00000106,N
VINV_000107,VEND_000079,GOODS,2025-09-11T10:25:00,2025-10-11T10:25:00,GOODS,Inventory replenishment,194187.00,34953.66,229140.66,INR,APPROVED,PO_00000107,N
VINV_000108,VEND_000039,GOODS,2025-09-08T10:27:00,2025-10-23T10:27:00,GOODS,Packaging and merchandise supplies,120212.00,21638.16,141850.16,INR,APPROVED,PO_00000108,N
VINV_000109,VEND_000060,GOODS,2025-09-16T10:43:00,2025-10-16T10:43:00,GOODS,Merchandise procurement,160811.00,28945.98,189756.98,INR,APPROVED,PO_00000109,N
VINV_000110,VEND_000066,GOODS,2025-09-25T10:10:00,2025-10-25T10:10:00,GOODS,Inventory replenishment,169042.00,30427.56,199469.56,INR,APPROVED,PO_00000110,N
VINV_000111,VEND_000037,GOODS,2025-09-23T10:40:00,2025-11-07T10:40:00,GOODS,Packaging and merchandise supplies,180122.00,32421.96,212543.96,INR,APPROVED,PO_00000111,N
VINV_000112,VEND_000012,GOODS,2025-09-23T10:19:00,2025-10-23T10:19:00,GOODS,Merchandise procurement,106569.00,19182.42,125751.42,INR,APPROVED,PO_00000112,N
VINV_000113,VEND_000026,GOODS,2025-09-02T10:02:00,2025-10-17T10:02:00,GOODS,Merchandise procurement,83627.00,15052.86,98679.86,INR,APPROVED,PO_00000113,N
VINV_000114,VEND_000061,GOODS,2025-09-04T10:29:00,2025-10-04T10:29:00,GOODS,Product stock replenishment,205241.00,36943.38,242184.38,INR,APPROVED,PO_00000114,N
VINV_000115,VEND_000081,GOODS,2025-09-08T10:45:00,2025-10-23T10:45:00,GOODS,Product stock replenishment,195908.00,35263.44,231171.44,INR,APPROVED,PO_00000115,N
VINV_000116,VEND_000064,GOODS,2025-09-09T10:09:00,2025-10-09T10:09:00,GOODS,Inventory replenishment,149766.00,26957.88,176723.88,INR,APPROVED,PO_00000116,N
VINV_000117,VEND_000014,GOODS,2025-09-09T10:11:00,2025-10-24T10:11:00,GOODS,Product stock replenishment,156449.00,28160.82,184609.82,INR,APPROVED,PO_00000117,N
VINV_000118,VEND_000007,GOODS,2025-09-09T10:58:00,2025-10-24T10:58:00,GOODS,Inventory replenishment,191120.00,0.00,191120.00,INR,APPROVED,PO_00000118,N
VINV_000119,VEND_000059,GOODS,2025-09-16T10:42:00,2025-10-16T10:42:00,GOODS,Packaging and merchandise supplies,79954.00,14391.72,94345.72,INR,APPROVED,PO_00000119,N
VINV_000120,VEND_000057,GOODS,2025-09-25T10:57:00,2025-10-25T10:57:00,GOODS,Product stock replenishment,205603.00,37008.54,242611.54,INR,APPROVED,PO_00000120,N
VINV_000121,VEND_000071,GOODS,2025-09-07T10:47:00,2025-10-07T10:47:00,GOODS,Product stock replenishment,161893.00,29140.74,191033.74,INR,APPROVED,PO_00000121,N
VINV_000122,VEND_000058,GOODS,2025-09-09T10:53:00,2025-10-09T10:53:00,GOODS,Packaging and merchandise supplies,112945.00,20330.10,133275.10,INR,APPROVED,PO_00000122,N
VINV_000123,VEND_000067,GOODS,2025-09-22T10:15:00,2025-10-22T10:15:00,GOODS,Packaging and merchandise supplies,172034.00,30966.12,203000.12,INR,APPROVED,PO_00000123,N
VINV_000124,VEND_000057,GOODS,2025-09-24T10:18:00,2025-10-24T10:18:00,GOODS,Merchandise procurement,65311.00,11755.98,77066.98,INR,APPROVED,PO_00000124,N
VINV_000125,VEND_000035,GOODS,2025-09-12T10:57:00,2025-10-12T10:57:00,GOODS,Inventory replenishment,133040.00,23947.20,156987.20,INR,APPROVED,PO_00000125,N
VINV_000126,VEND_000018,GOODS,2025-09-09T10:24:00,2025-10-24T10:24:00,GOODS,Merchandise procurement,84539.00,15217.02,99756.02,INR,APPROVED,PO_00000126,N
VINV_000127,VEND_000028,GOODS,2025-09-15T10:26:00,2025-10-15T10:26:00,GOODS,Packaging and merchandise supplies,61837.00,11130.66,72967.66,INR,APPROVED,PO_00000127,N
VINV_000128,VEND_000070,GOODS,2025-09-15T10:03:00,2025-10-30T10:03:00,GOODS,Merchandise procurement,167139.00,30085.02,197224.02,INR,APPROVED,PO_00000128,N
VINV_000129,VEND_000054,GOODS,2025-09-20T10:44:00,2025-11-04T10:44:00,GOODS,Inventory replenishment,147099.00,26477.82,173576.82,INR,APPROVED,PO_00000129,N
VINV_000130,VEND_000074,GOODS,2025-09-17T10:00:00,2025-10-17T10:00:00,GOODS,Packaging and merchandise supplies,144714.00,26048.52,170762.52,INR,APPROVED,PO_00000130,N
VINV_000131,VEND_000039,GOODS,2025-09-15T10:34:00,2025-10-30T10:34:00,GOODS,Merchandise procurement,147232.00,26501.76,173733.76,INR,APPROVED,PO_00000131,N
VINV_000132,VEND_000063,GOODS,2025-09-10T10:27:00,2025-10-10T10:27:00,GOODS,Product stock replenishment,102520.00,18453.60,120973.60,INR,APPROVED,PO_00000132,N
VINV_000133,VEND_000004,GOODS,2025-09-12T10:42:00,2025-10-12T10:42:00,GOODS,Product stock replenishment,146936.00,26448.48,173384.48,INR,APPROVED,PO_00000133,N
VINV_000134,VEND_000022,GOODS,2025-09-06T10:39:00,2025-10-21T10:39:00,GOODS,Inventory replenishment,167523.00,30154.14,197677.14,INR,APPROVED,PO_00000134,N
VINV_000135,VEND_000051,GOODS,2025-09-20T10:42:00,2025-11-04T10:42:00,GOODS,Inventory replenishment,200161.00,36028.98,236189.98,INR,APPROVED,PO_00000135,N
VINV_000136,VEND_000011,GOODS,2025-09-15T10:08:00,2025-10-30T10:08:00,GOODS,Product stock replenishment,213492.00,38428.56,251920.56,INR,APPROVED,PO_00000136,N
VINV_000137,VEND_000024,GOODS,2025-09-10T10:24:00,2025-10-10T10:24:00,GOODS,Packaging and merchandise supplies,58181.00,10472.58,68653.58,INR,APPROVED,PO_00000137,N
VINV_000138,VEND_000028,GOODS,2025-09-12T10:21:00,2025-10-12T10:21:00,GOODS,Product stock replenishment,164196.00,29555.28,193751.28,INR,APPROVED,PO_00000138,N
VINV_000139,VEND_000036,GOODS,2025-09-10T10:53:00,2025-10-10T10:53:00,GOODS,Inventory replenishment,155510.00,27991.80,183501.80,INR,APPROVED,PO_00000139,N
VINV_000140,VEND_000061,GOODS,2025-09-25T10:34:00,2025-10-25T10:34:00,GOODS,Inventory replenishment,50081.00,9014.58,59095.58,INR,APPROVED,PO_00000140,N
VINV_000141,VEND_000045,GOODS,2025-09-22T10:04:00,2025-10-22T10:04:00,GOODS,Inventory replenishment,103778.00,18680.04,122458.04,INR,APPROVED,PO_00000141,N
VINV_000142,VEND_000004,GOODS,2025-09-08T10:53:00,2025-10-08T10:53:00,GOODS,Inventory replenishment,109823.00,19768.14,129591.14,INR,APPROVED,PO_00000142,N
VINV_000143,VEND_000080,GOODS,2025-09-09T10:08:00,2025-10-24T10:08:00,GOODS,Product stock replenishment,84946.00,15290.28,100236.28,INR,APPROVED,PO_00000143,N
VINV_000144,VEND_000086,GOODS,2025-09-20T10:13:00,2025-10-20T10:13:00,GOODS,Product stock replenishment,74986.00,0.00,74986.00,INR,APPROVED,PO_00000144,N
VINV_000145,VEND_000090,GOODS,2025-09-13T10:10:00,2025-10-13T10:10:00,GOODS,Inventory replenishment,112172.00,20190.96,132362.96,INR,APPROVED,PO_00000145,N
VINV_000146,VEND_000021,GOODS,2025-09-05T10:37:00,2025-10-20T10:37:00,GOODS,Inventory replenishment,126536.00,22776.48,149312.48,INR,APPROVED,PO_00000146,N
VINV_000147,VEND_000040,GOODS,2025-09-23T10:58:00,2025-11-07T10:58:00,GOODS,Product stock replenishment,195941.00,35269.38,231210.38,INR,APPROVED,PO_00000147,N
VINV_000148,VEND_000051,GOODS,2025-09-04T10:37:00,2025-10-19T10:37:00,GOODS,Merchandise procurement,96990.00,17458.20,114448.20,INR,APPROVED,PO_00000148,N
VINV_000149,VEND_000014,GOODS,2025-09-23T10:38:00,2025-11-07T10:38:00,GOODS,Inventory replenishment,124058.00,22330.44,146388.44,INR,APPROVED,PO_00000149,N
